tutorial_14.text,Tap anywhere to continue,タップして続行,"Нажмите, чтобы продолжить",点按以继续,Appuyez pour continuer,Tippen um fortzufahren,계속하려면 탭하세요.,,
tutorial_15.text,Watch an ad and claim more gifts!,広告を見て、\nもっとギフトをもらいましょう！,Посмотрите рекламу \nи получите больше подарков!,观看广告并领取更多礼物！,Regardez une annonce et réclamez\n plus de cadeaux !,Sieh dir eine Anzeige an und hol\n dir noch mehr Geschenke!,광고를 보고 더 많은 선물을 받으세요!,,
tutorial_16.text,Play one more game \nto unlock Haru SCRATCHING power,もう１回プレイすると、 Haru のスクラッチパワー\nをロック解除できます,"Сыграйте еще в одну игру, чтобы разблокировать\n способность Хару ЦАРАПАТЬСЯ",再玩一场游戏以解锁Haru刮擦力量,Jouez à un autre jeu pour déverrouiller\n le pouvoir de grattage de Haru,"Spiele noch ein Spiel, um die Kraft\n des KRATZENS von Haru freizuschalten.",게임을 한 번 더 플레이하여 Haru\n 스크래칭 파워를 잠금 해제하세요.,,
tutorial_17.text,Play one more game \nto unlock Haru PURRING power,もう１回プレイすると、 Haru の喉慣らしパワー\nをロック解除できます,"Сыграйте еще в одну игру, чтобы \nразблокировать силу МУРЛЫКАНЬЯ Хару",再玩一场游戏以解锁Haru咆哮力量,Jouez à un autre jeu pour déverrouiller\n le pouvoir RONRONNANT de Haru,"Spiele noch ein Spiel, um die Kraft\n des SCHNURRENS von Haru freizuschalten.",게임을 한 번 더 플레이하여 Haru\n 퍼링 파워를 잠금 해제하세요,,
tutorial_18.text,LEVEL UP!\nYour score and silver are multiplied.,レベルアップ！\nスコアとシルバーが倍増しました。,ПОВЫШЕНИЕ УРОВНЯ!\nТвои очки и серебро умножены.,升级啦！\n你的分数和银币已翻倍。,NIVEAU SUPÉRIEUR !\nTon score et ton argent ont été multipliés.,LEVEL UP!\nDeine Punkte und dein Silber wurden vervielfacht.,레벨업!\n점수와 실버가 배로 증가했습니다.,,
tutorial_19.text,Big reward! Tap to claim for free this time,豪華報酬！今回は無料でタップして受け取ろう,"Большая награда! Нажми, чтобы получить бесплатно на этот раз",丰厚奖励！本次免费，点击领取,Grosse récompense ! Appuie pour réclamer gratuitement cette fois,"Große Belohnung! Tippe, um sie diesmal kostenlos zu erhalten",큰 보상! 이번에는 무료로 탭하여 받으세요,,
tutorial_20.text,Meet the HAMMER!It clears a block\n and nearby cats. Try it now.,HAMMER登場！ブロックと近くの猫を一掃します。\n今すぐ試そう。,Встречай МОЛОТ! Он убирает блок и соседних котов.\n Попробуй сейчас.,认识HAMMER！它能清除一个方块和附近的猫咪。立即试试。,Voici le MARTEAU ! Il élimine un bloc et les chats à proximité. Essaie maintenant.,Hier kommt der HAMMER! Er entfernt einen Block und nahe Katzen. Probier es jetzt aus.,HAMMER를 만나보세요! 블록과 근처의 고양이를 제거합니다. 지금 사용해보세요.,,
tutorial_21.text,Meet the MAGNET! It clears all cat\n blocks of one random color.,MAGNET登場！ランダムな色の猫\nブロックを全て消去します。,Встречай MAGNET! Он убирает все кошачьи\nблоки одного случайного цвета.,认识MAGNET！它清除所有一种随机颜色的猫咪\n方块。,Voici l’AIMANT ! Il élimine tous les blocs de chats\n d’une couleur aléatoire.,Hier kommt der MAGNET! Er entfernt alle Katzen\nblöcke einer zufälligen Farbe.,MAGNET을 만나보세요! 무작위 색상의 모든 고양이\n블록을 제거합니다.,,
tutorial_22.text,Meet the MAGIC WAND! It splits all big\n cat blocks into smaller cat blocks.,マジックワンドを紹介！\n大きなネコブロックをすべて小さなネコブロックに分割します。,Познакомьтесь с ВОЛШЕБНОЙ ПАЛОЧКОЙ!\nОна разделяет все большие кошачьи блоки на более маленькие кошачьи блоки.,隆重推出魔法棒！\n它可以将所有大型猫咪方块拆分成更小的猫咪方块。,Découvrez la BAGUETTE MAGIQUE !\nElle divise tous les grands blocs de chats en blocs de chats plus petits.,Entdecke den ZAUBERSTAB!\nEr teilt alle großen Katzenblöcke in kleinere Katzenblöcke auf.,마법 지팡이를 만나보세요!\n모든 큰 고양이 블록을 더 작은 고양이 블록으로 나눠줍니다.,,
tutorial_23.text,HARU the Robinhood! He’s here to help.,HARU the Robinhood！彼が助けに来ました。,"HARU the Robinhood! Он здесь, чтобы помочь.",HARU the Robinhood！他来帮忙了。,HARU the Robinhood ! Il est là pour aider.,"HARU the Robinhood! Er ist hier, um zu helfen.",HARU the Robinhood! 그가 도와주러 왔습니다.,,
tutorial_24.text,Clear blocks to charge the character skill.,ブロックを消してキャラクタースキルをチャージしよう。,"Убирай блоки, чтобы зарядить навык персонажа.",消除方块来充能角色技能。,Élimine des blocs pour charger la compétence du personnage.,"Räume Blöcke ab, um die Charakterfähigkeit aufzuladen.",블록을 제거해서 캐릭터 스킬을 충전하세요.,,
tutorial_25.text,Tap me to activate the skill.,私をタップしてスキルを発動しよう。,"Нажми на меня, чтобы активировать навык.",点击我来激活技能。,Appuie sur moi pour activer la compétence.,"Tippe mich an, um die Fähigkeit zu aktivieren.",나를 탭해서 스킬을 발동하세요.,,
tutorial_26.text,Play Lucky Draw to earn extra rewards.,ラッキードローをプレイして追加報酬を獲得しよう。,"Сыграй в Lucky Draw, чтобы получить дополнительные награды.",参与幸运抽奖，赢取额外奖励。,Joue au Lucky Draw pour gagner des récompenses supplémentaires.,"Spiele Lucky Draw, um zusätzliche Belohnungen zu erhalten.",Lucky Draw를 플레이해서 추가 보상을 획득하세요.,,
htp.content.text2,Your current game progress will be lost.\nAre you sure?,あなたの進歩は失われます。\nゲームを再起動して\nもよろしいですか？,"Ход игры будет потерян.\n Вы уверены, что хотите начать игру заново?",你的进度将会丢失。,Vos progrès seront perdus.,Dein Fortschritt geht verloren.,진행 과정이 사라집니다.\n게임을 다시 시작하시겠습니까?,,
htp.content.text,Your current game progress\nwill be lost.\nAre you sure you want to\nrestart the tutorial?,あなたの現在のゲーム進行状況が\n失われます。\n本当にチュートリアルを\n再開しますか？,"Ваш текущий прогресс в игре\nбудет потерян.\nВы уверены, что хотите\nначать учебник заново?",您当前的游戏进度将\n丢失。\n您确定要\n重新开始教程吗？,Votre progression actuelle dans le jeu\nsera perdue.\nÊtes-vous sûr de vouloir\nrelancer le tutoriel?,"Ihr aktueller Spielfortschritt\ngeht verloren.\nSind Sie sicher, dass Sie\ndas Tutorial neu starten möchten?",현재 게임 진행 상황이\n손실됩니다.\n튜토리얼을 다시 시작하시겠습니까?\n,,
cancel,Cancel,キャンセル,Отмена,取消,Annuler,Abbrechen,취소,,
htp.start.button,Start,スタート,Начать,开始,Début,Start,시작,,
push.popup.title.text,FANTASTIC,素晴らしい,ОТЛИЧНО,神奇,FANTASTIQUE,FANTASTISCH,환상적이에요,,
push.popup.content.text,Haru loves you and want to share tips on how to make your brain healthy every day. ,春はあなたのことが大好きで、毎日の脳トレのヒントを分かち合いたいです。,"Хару очень любит вас, поэтому он решил поделиться с вами парой советов, которые помогут сохранить трезвость ума.",哈鲁喜欢你，想分享如何让你的大脑每天保持健康的秘诀。,Haru vous aime et souhaite partager des conseils sur la façon de prendre soin de la bonne santé de votre cerveau au quotidien.,"Haru liebt dich und möchte dir Tipps geben, wie du dein Gehirn jeden Tag gesund machen kannst.","하루는 여러분을 사랑하고, 매일 두뇌를 건강하게 만들 수 있는 방법에 대해 팁을 알려드리고 싶어해요.",,
push.popup.question.text,Would you like to be notified?,通知を受け取りますか。,Вы хотите получать полезные уведомления?,你想收到通知吗？,Souhaitez-vous être averti ?,Möchtest du benachrichtigt werden?,알림을 받으시겠습니까?,,
push.popup.not_now.button,Not now,今すぐではない,Не сейчас,现在不,Pas maintenant,Später,지금 하지 않음,,
push.popup.Okay.button,Okay,オッケー,Конечно,好的,D'accord,Ok,확인,,
push.content_1.text,🍎Colorful fruits is a healthy choice for your brain 🍉\n🍌🍒🍊Take some while playing with Haru Slide 🍌🍒🍊,カラフルな果物はあなたの脳に良いです。果物を取りながら春と遊んでください。,🍎Яркие фрукты очень полезны для вашего мозга 🍉\n🍌🍒🍊Обязательно вооружитесь парочкой фруктов пока играете в Haru Slide 🍌🍒🍊,🍎多彩的水果对你的大脑来说是一个健康的选择 🍉\n🍌🍒🍊玩哈鲁滑块时吃一些 🍌🍒🍊,🍎Les fruits colorés sont un choix santé pour votre cerveau🍎\ n🍌🍒🍊Prenez-en tout en jouant avec Haru Slide🍌🍒🍊,"🍎Bunte Früchte sind eine gesunde Wahl für dein Gehirn.🍉\n🍌🍒🍊Nimm sie dir, während du Haru Slide spielst🍌🍒🍊",🍎다양한 색상의 과일은 두뇌를 위해 좋은 선택이에요🍉\n🍌🍒🍊Haru Slide를 플레이하면서 과일을 드셔보세요🍌🍒🍊,,
push.content_2.text,👋Hey! Let's clear 🎁blocks and receive more 💰💰💰,ブロックをクリアして💰（お金）をもらいましょう。,"👋Привет! Давай уберем пару 🎁блоков, чтобы получить новые 💰💰💰",👋嘿！让我们清除 🎁积木并获得更多 💰💰💰,🍎Hé ! Effacons les🎁blocs et recevons plus🍎🍎🍎,"👋Hey! Räumen wir die🎁Blöcke weg, damit wir mehr💰💰💰erhalten.",👋플레이어님! 🎁블록을 없애고 더 많이💰💰💰 받으세요,,
push.content_3.text,😼Save smaller block when you reach higher levels as it will save your game 👌💥,高いレベルを到達したら、ゲームを続けるために小さいブロックを残したほうがいいです,"😼Не используйте малые блоки сразу, ведь они помогут не проиграть, когда рядов окажется слишком много 👌💥",😼当你达到更高的等级时保存较小的积木，因为它会解救你的游戏 👌💥,"🍎Sauvegardez un plus petit bloc lorsque vous atteignez des niveaux plus élevés, car cela sauvegardera votre jeu🍎🍎","😼Speichere einen kleinen Block, wenn du höhere Level erreichst, da dies dein Spiel retten wird.👌💥","😼더 높은 레벨에 도달하면 게임이 저장되므로, 더 작은 블록을 저장하세요 👌💥",,
push.content_4.text,"You know, playing Haru Slide may slow the aging process and reduce stress ⚡🥊",春スライドをプレイしたら、老化スピードを抑制し、ストレスを解消たりすることができます。,"Знайте о том, что играя в Haru Slide, вы можете замедлить процесс старения и избавиться от стресса ⚡🥊",你知道，玩哈鲁滑块可以减缓衰老过程并减轻压力 ⚡🥊,"Vous savez, jouer à Haru Slide peut ralentir le processus de vieillissement et réduire le stress⚡🥊","Wie du weißt, kann das Spielen von Haru Slide den Alterungsprozess verlangsamen und Stress reduzieren.⚡🥊",아시다시피 Haru Slide를 플레이하시면 노화가 느리게 진행되고 스트레스가 줄어듭니다 ⚡🥊,,
push.content_5.text,"👋☘️Let's take a breath, drink water and refresh your mind before playing with Haru 🍀🎶",春と遊ぶ前に、息をして水を飲んで心をリフレッシュしましょう,"👋☘️ Давайте сделаем глубокий вдох, выпьем стакан воды и обретем ясность ума перед тем, как начать игру с Хару 🍀🎶",👋☘️玩哈鲁游戏之前，吸气，喝水并恢复精神 🍀🎶,"👋👋Soufflez un peu, buvez de l'eau et rafraîchissez votre esprit avant de jouer avec Haru👋👋","👋☘️Atme tief durch, trink Wasser und erfrische deinen Geist, bevor wir mit Haru spielen.🍀🎶",👋☘️하루와 놀기 전에 심호흡을 하고 물을 한 잔 마시며 개운한 정신으로 시작해보세요 🍀🎶,,
push.content_6.text,🌿🍎☘️Your brain needs exercise to stay healthy 🌿🍎☘️\n🌈Let's train your brain today 😘, 脳が元気になるように、練習は必要です。今日から脳トレをしましょう。,🌿🍎☘️Вы должны заботиться о здоровье вашего мозга 🌿🍎☘️\n🌈Давайте-ка займемся его тренировкой 😘,🌿🍎☘️你的大脑需要运动才能保持健康 🌿🍎☘️\n🌈今天锻炼你的大脑 😘,👋👋👋Votre cerveau a besoin d'exercice pour rester en bonne santé👋👋👋\n👋Entraînons votre cerveau aujourd'hui👋,"🌿🍎☘️Dein Gehirn braucht Bewegung, um gesund zu bleiben.🌿🍎☘️\n🌈Trainieren wir heute dein Gehirn😘",🌿🍎☘️운동은 두뇌 건강을 유지하기 위해 정말 중요합니다 🌿🍎☘️\n🌈오늘도 두뇌를 훈련해보세요 😘,,
push.content_7.text,You must've had a hard day 😿\n☘️Let's take a stretch break to loosen muscles and rid your body of tension 💓,お疲れ様です。体の緊張をほぐすために、ストレッチしましょう。,"Скорее всего, у вас был тяжелый день 😿\n☘️Давайте сделаем растяжку, чтобы расслабить ваши мышцы и избавить вас от напряжения 💓",你一定度过了艰难的一天 😿\n☘️让我们休息一下，放松肌肉，摆脱身体紧张 💓,Vous avez dû passer une rude journée😿\n☘️Faisons une pause pour détendre les muscles et débarrasser votre corps des tensions👋,Du hast sicher einen anstrengenden Tag hinter dir.😿\n☘️Machen wir eine Dehnungsübung. Das lockert die Muskeln und befreit deinen Körper von Spannungen.💓,오늘 하루도 힘드셨죠 😿\n☘️잠깐 스트레칭을 하며 근육을 풀고 몸의 긴장을 없애봅시다 💓,,
push.content_8.text,🏵 Studies show that relaxing boosts your memory 🚀\n🤗 Take rest and have fun with Haru Slide 😜😘,リラックスのおかげで、記憶が良くなるという研究があります。 ゆっくりして、春と楽しましょう。,"🏵 Исследования показывают, что расслабление улучшает работу вашей памяти 🚀\n🤗 Отдохните и повеселитесь в удивительном мире Haru Slide 😜😘",🏵 研究表明，放松可以增强你的记忆力 🚀\n🤗 休息，享受哈鲁滑块的乐趣 😜😘,🏵Des études montrent que la détente stimule la mémoire🚀\n🤗Faites une pause et amusez-vous avec Haru Slide😜😘,"🏵Studien zeigen, dass Entspannung dein Gedächtnis stärkt.🚀\n🤗Mach eine Pause und hab Spaß mit Haru Slide.😜😘",🏵 연구에 따르면 휴식을 취할 때 기억력이 향상된다고 합니다 🚀\n🤗 Haru Slide를 즐기면서 휴식을 취해보세요 😜😘,,
push.content_9.text,🎧 Research shows that listening to music can help boost your brainpower 💫🚀⭐️\n🎼 Play with Haru Slide and enjoy your favorite music 💓🎵🎶,音楽を聴くことが脳に良い影響を与えます。春スライドを遊んで、お気に入っている音楽を楽しんでください。,"🎧 Исследования показали, что прослушивание музыки помогает улучшить работу вашего мозга 💫🚀⭐️\n🎼 Играйте в Haru Slide, наслаждаясь вашими любимыми треками 💓🎵🎶",🎧 研究表明，听音乐有助于增强你的智力 💫🚀⭐️\n🎼 玩哈鲁滑块，享受你最喜欢的音乐 💓🎵🎶,🎧La recherche a prouvé qu'écouter de la musique peut aider à stimuler vos ressources intellectuelles💫🚀⭐️\n🎼Jouez avec Haru Slide et jouissez de votre musique préférée👋👋👋,"🎧Nachforschungen haben ergeben, dass das Hören von Musik zur Steigerung der Intelligenz beitragen kann.💫🚀⭐️\n🎼Spiele mit Haru Slide und genieße deine Lieblingsmusik.💓🎵🎶",🎧 연구에 따르면 음악 감상이 두뇌 능력 향상에 도움이 된다고 합니다 💫🚀⭐️\n🎼 Haru Slide를 플레이하시고 좋아하는 음악도 감상해보세요 💓🎵🎶,,
push.content_10.text,🍿Brain's fact:\n✔️The human brain weighs only about 3lbs (around 1.5 kg) 😸 ,脳の事実：人間の脳の重さは約1.5㎏だけです,🍿Интересный факт:\n✔️Мозг человека вести всего около 3 фунтов (примерно 1.5 кг) 😸,🍿大脑知识：\n✔️人类大脑的重量只有大约3磅（约1.5公斤）😸,"👋Un fait du cerveau : \n✔️Le cerveau humain ne pèse que 1,5 kg environ👋","🍿Fakt über das Gehirn:\n✔️Das menschliche Gehirn wiegt nur etwa 1,5 kg.😸",🍿두뇌에 관한 사실:\n✔️인간의 두뇌는 1.5kg(3파운드)밖에 되지 않습니다 😸,,
push.content_11.text,🔍🧠Human brain has the capacity to generate approximately 23 watts of power when awake 💡🔋,人間の脳は目覚めたときに約23ワットを生成する能力を持っています,🔍🧠Мозг человека способен генерировать примерно 23 Ватта электрической энергии в бодрствующем состоянии 💡🔋,🔍🧠人类大脑在清醒时能够产生大约23瓦的功率 💡🔋,👋👋Le cerveau humain a la capacité de générer environ 23 watts d'énergie lorsqu'il est éveillé👋👋,"🔍🧠Das menschliche Gehirn hat die Fähigkeit, im Wachzustand ca. 23 Watt Leistung zu erzeugen.💡🔋",🔍🧠인간의 두뇌는 깨어있을 때 약 23W의 전력을 생산하는 능력을 갖추고 있습니다 💡🔋,,
push.content_12.text,☘️The brain is capable of surviving for 5 to 6 minutes only if it doesn’t get oxygen after which it dies ⏰,脳は酸素をとらないと、5〜6分しか生存できません。,"☘️При отсутствии кислорода, ваш мозг может выжить только в течение 5-6 минут, после чего наступает его смерть ⏰",☘️没有氧气的情况下，大脑能够存活5至6分钟，之后将会死亡 ⏰,"👋Le cerveau est capable de survivre pendant 5 à 6 minutes seulement s'il ne reçoit pas d'oxygène, après quoi il meurt👋","☘️Wenn es keinen Sauerstoff mehr erhält, überlebt das Gehirn höchstens 5 bis 6 Minuten und dann stirbt es.⏰",☘️뇌는 산소가 없어진 후에는 5~6분만 생존할 수 있으며 그 후에는 죽게 됩니다 ⏰,,
push.content_13.text,☘️There are 100 billion neurons present in the brain 🔍🧠,脳には1000億のニューロンが存在します,☘️В мозге человека находится более 100 миллиардов нейронов 🔍🧠,☘️大脑中有1000亿个神经元 🔍🧠,☘️Il y a 100 milliards de neurones dans le cerveau👋👋,☘️Im Gehirn gibt es 100 Milliarden Neuronen.🔍🧠,☘️인간의 두뇌에는 1000억 개의 뉴런이 존재합니다 🔍🧠,,
push.content_14.text,"Of the total blood and oxygen that is produced in our body, the brain gets 20% of it 🌿🍎☘️",体の中で生産される血と酸素の中、脳へのものは20％占めます,"Мозг получает 20% от общего объема крови и кислорода, которые находятся в нашем организме 🌿🍎☘️",体内产生的血液和氧气总量中，大脑得到20% 🌿🍎☘️,20% du sang et de l'oxygène produits dans notre corps sont absorbés par le cerveau👋👋👋,"Von der Gesamtmenge an Blut und Sauerstoff, die in unserem Körper produziert wird, erhält das Gehirn 20 %.🌿🍎☘️",두뇌는 우리 몸에서 생산되는 모든 피와 산소의 20%를 가져갑니다 🌿🍎☘️,,
push.content_15.text,🏆Incredible! Your best now: [BEST_SCORE] \n😍 Can you break your best score today? 😍,すごい！今のベスト「ベストスコア」最高スコアは今日のうちにまた更新できますか,🏆Невероятно! Ваш текущий рекорд: [BEST_SCORE] \n😍 Получится ли у вас поставить новый рекорд прямо сегодня? 😍,🏆不可思议！你现在的最佳：[BEST_SCORE] \n😍 今天你能打破你的最佳分数吗？ 😍,👋Incroyable ! Votre meilleur score maintenant : [BEST_SCORE] \n😍Pouvez-vous battre votre meilleur score aujourd'hui ?😍,🏆Unglaublich! Dein bestes Ergebnis: [BEST_SCORE]\n😍Übertriffst du heute dein bestes Ergebnis?😍,🏆놀라워요! 현재 최고 점수: [BEST_SCORE] \n😍 오늘 최고 점수를 깰 수 있을까요? 😍,,
push.content_16.text,✔️Do you know:\n⏰ You've been playing with Haru for [AMOUNT] minutes so far 😍\n❤️ Haru love you more and more every day! ❤️,あなたは知ってますか。今まで春と［時間］遊んで来ました。春はあなたのこと大好きで、もっと遊びたいです！,✔️Знаете ли вы:\n⏰ Вы играете с Хару уже [AMOUNT] минут 😍\n❤️ Хару любит вас все больше с каждым днем! ❤️,✔️你知道吗：\n⏰ 到目前为止你玩哈鲁游戏已经玩了[AMOUNT] 分钟 😍\n❤️ 哈鲁每天越来越喜欢你！ ❤️,✔️Le savez-vous : \n⏰Vous jouez avec Haru depuis [AMOUNT] minutes jusqu'à présent👋\n❤️Haru vous aime de plus en plus chaque jour !❤️,✔️Wusstest du das:\n⏰Du spielst schon seit [AMOUNT] Minuten mit Haru.😍\n❤️Haru liebt dich jeden Tag mehr und mehr!❤️,✔️알고 계셨나요?:\n⏰ 지금까지 [AMOUNT]분 동안 하루와 놀아주셨어요 😍\n❤️ 하루가 매일매일 더 좋아하게 될 거예요! ❤️,,
push.content_17.text,🎉Wow! You have got [WEEKLY_SCORE] this week ,今週[週のスコア]を取得しました。,🎉Ничего себе! На этой неделе вы набрали [WEEKLY_SCORE],🎉哇！你本周获得 [WEEKLY_SCORE],🎉Wow ! Vous avez obtenu [WEEKLY_SCORE] cette semaine,🎉Wow! Du hast diese Woche [WEEKLY_SCORE] erhalten.,🎉와! 이번 주에 [WEEKLY_SCORE]점을 받으셨어요,,
push.content_18.text,🏆Thank you for playing with Haru. Your lifetime score: [SCORE] Check your weekly progress here! 🌈,春と遊んでいただいて、ありがとうございます。全てスコア:[スコア]。ここで週間の進歩をチェックします。,🏆Благодарим вас за игру с Хару. Ваш общий результат: [SCORE] Посмотрите итоги недели в этом разделе! 🌈,🏆感谢你玩哈鲁。你的终身分数：[SCORE] 在此查看你的周进度！ 🌈,👋Merci de jouer avec Haru. Votre score à vie : [SCORE] Vérifiez votre progression hebdomadaire ici !🌈,"🏆Danke, dass du mit Haru gespielt hast. Dein Lebenspunktestand: [SCORE] Überprüfe hier deinen wöchentlichen Fortschritt!🌈",🏆하루와 놀아주셔서 감사합니다. 지금까지 점수: [SCORE] 여기에서 이번 주의 진행 과정을 확인하세요! 🌈,,
home.best.text,Best,最高,Рекорд,最佳,Meilleur,Beste,베스트,,
home.play.button,PLAY,プレイ,ИГРАТЬ,游戏,JOUER,SPIELEN,플레이,,
home.menu.button,MENU,メニュー,МЕНЮ,菜单,MENU,MENÜ,메뉴,,
home.score.button,SCORE,スコア,РЕЗУЛЬТАТ,分数,SCORE,PUNKTE,점수,,
home.rate.button,RATE,評価する,Оценить,评价,NOTER,BEWERTUNG,평가하기,,
home.noads.button,No ads,広告なし,Без рекламы,无广告,Pas de pubs,Keine Werbung,광고 없음,,
menu.settings.text,SETTINGS,設定,НАСТРОЙКИ,设置,PARAMÈTRES,EINSTELLUNGEN,설정,,
menu.sound.text,Sound,音,Звук,声音,Son,Ton,소리,,
menu.music.text,Music,音楽,Музыка,音乐,Musique,Musik,음악,,
menu.vibration.text,Vibration,振動,Вибрация,振动,Vibration,Vibration,진동,,
